customer_id,signup_date,location,age_group
1,2023-11-26,Houston,26-35
2,2025-04-17,Boston,36-45
3,2024-10-06,Phoenix,55+
4,2024-06-11,Phoenix,26-35
5,2023-05-18,Houston,36-45
6,2023-05-18,Houston,26-35
7,2023-02-21,Boston,26-35
8,2025-02-02,Chicago,36-45
9,2024-06-13,Seattle,55+
10,2024-09-15,Boston,26-35
11,2023-01-19,Chicago,55+
12,2025-05-04,Chicago,55+
13,2025-01-03,Chicago,26-35
14,2023-07-07,Boston,26-35
15,2023-06-10,New York,36-45
16,2023-06-11,New York,36-45
17,2023-09-26,Phoenix,18-25
18,2024-04-07,New York,55+
19,2024-01-16,New York,46-55
20,2023-09-14,Chicago,26-35
21,2024-06-23,Chicago,36-45
22,2023-05-03,Houston,18-25
23,2023-09-15,Chicago,26-35
24,2023-11-19,Boston,55+
25,2024-02-06,Houston,46-55
26,2024-11-22,Seattle,26-35
27,2023-06-25,Houston,36-45
28,2024-03-29,New York,36-45
29,2024-06-05,Chicago,26-35
30,2023-02-10,New York,18-25
31,2024-06-19,Chicago,36-45
32,2023-05-31,New York,36-45
33,2023-02-27,Seattle,18-25
34,2025-04-15,New York,18-25
35,2025-04-30,New York,26-35
36,2024-12-13,Boston,26-35
37,2023-09-26,Seattle,36-45
38,2023-03-28,Phoenix,26-35
39,2024-08-25,Seattle,26-35
40,2024-01-23,New York,46-55
41,2023-04-18,Los Angeles,18-25
42,2024-03-12,Los Angeles,26-35
43,2023-01-31,Los Angeles,55+
44,2025-03-12,Boston,36-45
45,2023-08-16,Houston,36-45
46,2024-08-06,New York,26-35
47,2023-10-02,Seattle,18-25
48,2024-04-03,Los Angeles,36-45
49,2024-04-26,Boston,36-45
50,2023-06-12,Houston,18-25
51,2025-05-04,Los Angeles,26-35
52,2024-11-13,Chicago,55+
53,2025-04-07,Phoenix,26-35
54,2025-02-27,New York,26-35
55,2024-06-10,Phoenix,26-35
56,2025-03-23,Phoenix,46-55
57,2023-03-19,Chicago,46-55
58,2023-06-22,Chicago,46-55
59,2023-02-09,Chicago,26-35
60,2023-10-14,Houston,18-25
61,2023-12-09,Los Angeles,26-35
62,2023-08-28,Seattle,36-45
63,2024-12-31,New York,36-45
64,2023-11-11,Chicago,55+
65,2023-09-05,Boston,26-35
66,2024-04-23,New York,36-45
67,2023-05-05,Seattle,36-45
68,2024-12-07,New York,18-25
69,2023-03-07,New York,26-35
70,2025-05-19,Chicago,36-45
71,2024-11-11,Chicago,55+
72,2023-06-25,Los Angeles,26-35
73,2023-01-05,Seattle,55+
74,2024-12-19,Chicago,36-45
75,2024-09-14,Chicago,26-35
76,2024-10-04,New York,18-25
77,2024-11-10,Los Angeles,18-25
78,2023-03-07,Phoenix,26-35
79,2023-11-12,Chicago,18-25
80,2023-04-13,Boston,26-35
81,2025-01-30,Chicago,55+
82,2024-07-03,Phoenix,36-45
83,2023-10-19,New York,46-55
84,2023-02-25,Seattle,18-25
85,2023-10-01,Los Angeles,26-35
86,2023-10-14,New York,26-35
87,2024-10-04,Seattle,46-55
88,2024-07-15,Houston,18-25
89,2025-02-20,Chicago,26-35
90,2024-02-21,Seattle,36-45
91,2023-04-16,Boston,36-45
92,2024-09-20,Seattle,46-55
93,2024-11-01,Houston,26-35
94,2024-05-09,Chicago,26-35
95,2024-11-10,Houston,46-55
96,2024-03-11,Phoenix,36-45
97,2024-04-05,Chicago,26-35
98,2024-01-12,Boston,18-25
99,2023-01-23,Chicago,46-55
100,2023-04-06,Houston,55+
101,2023-01-28,Los Angeles,36-45
102,2024-07-14,Houston,46-55
103,2023-10-04,Chicago,36-45
104,2024-03-24,Chicago,26-35
105,2025-03-10,Seattle,18-25
106,2023-08-08,Los Angeles,36-45
107,2023-12-28,New York,26-35
108,2024-10-27,Los Angeles,46-55
109,2023-07-21,New York,36-45
110,2023-03-09,Boston,55+
111,2023-09-13,Chicago,36-45
112,2023-05-23,Seattle,26-35
113,2025-03-30,Phoenix,26-35
114,2024-12-12,Phoenix,26-35
115,2024-07-12,Houston,46-55
116,2025-02-06,Los Angeles,18-25
117,2024-12-09,Los Angeles,55+
118,2023-06-14,Phoenix,55+
119,2025-02-25,New York,36-45
120,2024-04-20,Los Angeles,26-35
121,2024-12-12,New York,26-35
122,2025-02-28,New York,26-35
123,2023-10-08,New York,18-25
124,2023-04-07,New York,26-35
125,2023-07-20,Seattle,18-25
126,2024-01-12,Houston,36-45
127,2024-12-21,Houston,26-35
128,2025-01-28,Seattle,18-25
129,2023-01-07,Phoenix,36-45
130,2024-03-25,Houston,55+
131,2024-01-03,Boston,36-45
132,2023-07-15,Seattle,26-35
133,2023-04-16,Los Angeles,46-55
134,2023-10-25,Boston,36-45
135,2025-04-10,Seattle,46-55
136,2023-10-12,Houston,26-35
137,2024-04-02,Los Angeles,46-55
138,2024-09-11,Los Angeles,26-35
139,2023-11-17,New York,55+
140,2025-05-06,Phoenix,26-35
141,2025-04-27,New York,55+
142,2023-08-10,Seattle,55+
143,2024-03-14,New York,18-25
144,2023-09-23,Boston,55+
145,2023-09-08,Houston,18-25
146,2023-02-02,Boston,26-35
147,2024-06-21,Houston,26-35
148,2024-03-18,Boston,55+
149,2023-02-15,Los Angeles,26-35
150,2023-09-03,Houston,36-45
151,2025-03-11,Houston,36-45
152,2023-07-31,Boston,55+
153,2023-05-08,Chicago,46-55
154,2024-03-07,Los Angeles,26-35
155,2025-05-18,Seattle,26-35
156,2023-08-02,Los Angeles,18-25
157,2024-08-15,Seattle,36-45
158,2024-11-01,Chicago,18-25
159,2023-07-29,Boston,26-35
160,2024-10-03,Boston,46-55
161,2023-11-21,Los Angeles,26-35
162,2024-07-11,Boston,36-45
163,2024-07-12,Phoenix,26-35
164,2024-04-17,Phoenix,18-25
165,2023-03-21,Seattle,26-35
166,2025-01-05,Chicago,26-35
167,2023-10-10,Houston,46-55
168,2023-06-14,Phoenix,26-35
169,2023-02-05,Seattle,26-35
170,2024-06-04,Boston,46-55
171,2024-08-19,Chicago,46-55
172,2023-01-15,Seattle,46-55
173,2024-03-27,Seattle,55+
174,2023-07-19,Phoenix,46-55
175,2024-07-22,New York,26-35
176,2023-06-03,Chicago,46-55
177,2024-08-31,Los Angeles,36-45
178,2023-12-07,Seattle,26-35
179,2025-04-05,Phoenix,26-35
180,2023-05-02,Los Angeles,26-35
181,2023-10-28,Chicago,18-25
182,2023-04-10,Phoenix,18-25
183,2025-03-25,Los Angeles,18-25
184,2025-02-11,Houston,46-55
185,2023-08-16,Seattle,55+
186,2024-08-04,Houston,36-45
187,2024-12-20,New York,46-55
188,2024-05-04,Boston,18-25
189,2024-04-11,Chicago,55+
190,2023-08-02,Boston,36-45
191,2023-03-24,Boston,18-25
192,2025-03-01,Los Angeles,18-25
193,2025-03-04,New York,26-35
194,2024-07-11,Chicago,18-25
195,2023-10-26,Houston,26-35
196,2023-11-04,Boston,18-25
197,2024-10-01,Los Angeles,26-35
198,2025-03-01,Boston,26-35
199,2025-02-20,Phoenix,55+
200,2024-11-18,Houston,26-35
201,2024-07-19,Boston,26-35
202,2023-03-16,Phoenix,36-45
203,2023-05-23,Phoenix,46-55
204,2025-03-02,Los Angeles,26-35
205,2024-06-18,Los Angeles,46-55
206,2023-01-09,Phoenix,26-35
207,2023-03-31,New York,18-25
208,2024-08-07,Boston,26-35
209,2023-01-05,Phoenix,36-45
210,2023-05-22,Phoenix,26-35
211,2024-04-28,Los Angeles,36-45
212,2024-09-01,Boston,26-35
213,2024-07-28,Chicago,36-45
214,2023-07-17,Houston,26-35
215,2024-09-19,Los Angeles,26-35
216,2023-07-29,Boston,36-45
217,2023-10-14,Boston,36-45
218,2024-10-19,Seattle,26-35
219,2024-07-26,New York,46-55
220,2025-01-18,Houston,36-45
221,2024-08-02,Los Angeles,26-35
222,2024-05-15,Los Angeles,55+
223,2023-03-24,Chicago,36-45
224,2023-11-20,Seattle,26-35
225,2023-08-22,Seattle,18-25
226,2023-08-03,New York,36-45
227,2025-05-07,Seattle,18-25
228,2023-12-13,New York,26-35
229,2025-02-24,Boston,26-35
230,2024-07-10,Boston,36-45
231,2024-12-01,Los Angeles,18-25
232,2024-03-18,Chicago,46-55
233,2024-05-23,Los Angeles,26-35
234,2024-03-09,Seattle,26-35
235,2023-06-22,Phoenix,46-55
236,2024-09-28,Boston,36-45
237,2023-09-05,Phoenix,26-35
238,2023-01-22,Seattle,26-35
239,2024-07-22,Chicago,26-35
240,2023-06-06,Los Angeles,36-45
241,2025-04-08,Boston,26-35
242,2025-04-20,Chicago,36-45
243,2025-03-16,Los Angeles,36-45
244,2023-11-23,Los Angeles,18-25
245,2023-01-14,Phoenix,26-35
246,2025-03-28,Houston,26-35
247,2024-01-13,Seattle,26-35
248,2025-05-01,New York,36-45
249,2025-04-28,Boston,36-45
250,2025-01-21,New York,46-55
251,2023-09-17,Chicago,18-25
252,2023-12-06,New York,55+
253,2025-01-19,Phoenix,26-35
254,2023-10-07,Houston,26-35
255,2023-05-30,Boston,36-45
256,2024-05-05,Seattle,46-55
257,2025-04-04,Los Angeles,26-35
258,2024-09-05,Los Angeles,36-45
259,2024-05-17,Seattle,46-55
260,2023-03-27,Phoenix,46-55
261,2024-06-25,Boston,18-25
262,2025-05-22,New York,46-55
263,2023-05-04,Seattle,46-55
264,2024-04-01,Los Angeles,36-45
265,2025-02-11,New York,46-55
266,2024-10-14,Phoenix,55+
267,2024-09-06,Los Angeles,26-35
268,2024-09-10,Chicago,18-25
269,2023-11-13,Houston,26-35
270,2023-09-16,New York,18-25
271,2024-12-14,Seattle,26-35
272,2024-12-14,Boston,36-45
273,2025-02-02,New York,26-35
274,2025-03-15,New York,36-45
275,2024-03-26,New York,46-55
276,2024-03-17,Seattle,26-35
277,2024-12-04,Phoenix,55+
278,2024-07-26,Phoenix,18-25
279,2024-09-10,Boston,46-55
280,2024-12-02,Phoenix,46-55
281,2025-02-23,Seattle,26-35
282,2023-10-25,Boston,26-35
283,2023-11-27,Boston,26-35
284,2023-03-24,Phoenix,46-55
285,2024-05-24,Los Angeles,46-55
286,2023-02-01,Phoenix,26-35
287,2024-02-15,Los Angeles,36-45
288,2024-04-23,Chicago,18-25
289,2023-09-10,Phoenix,26-35
290,2024-06-04,Chicago,55+
291,2023-01-27,Phoenix,18-25
292,2023-02-02,Chicago,55+
293,2024-12-25,Houston,46-55
294,2023-11-14,Chicago,55+
295,2023-04-22,Los Angeles,18-25
296,2024-04-05,New York,26-35
297,2024-11-09,Boston,18-25
298,2023-07-10,Chicago,36-45
299,2024-07-02,New York,36-45
300,2023-03-17,Seattle,18-25
301,2023-02-15,Houston,46-55
302,2024-04-13,Houston,26-35
303,2024-04-21,Seattle,18-25
304,2024-07-15,Seattle,26-35
305,2024-10-01,Seattle,18-25
306,2025-05-09,Los Angeles,26-35
307,2024-03-30,Seattle,26-35
308,2023-10-12,Los Angeles,46-55
309,2024-12-01,Chicago,46-55
310,2023-08-27,Phoenix,26-35
311,2024-01-22,Seattle,36-45
312,2023-03-11,Seattle,36-45
313,2023-01-23,Houston,26-35
314,2025-04-28,New York,36-45
315,2025-01-06,Phoenix,36-45
316,2024-09-05,Houston,36-45
317,2023-12-27,Chicago,36-45
318,2023-06-02,Seattle,36-45
319,2023-05-18,Houston,26-35
320,2023-08-09,Los Angeles,46-55
321,2024-04-28,New York,18-25
322,2024-09-21,New York,46-55
323,2024-08-04,Los Angeles,26-35
324,2023-09-04,Seattle,18-25
325,2025-04-21,Seattle,36-45
326,2024-10-12,Phoenix,26-35
327,2024-05-03,Los Angeles,46-55
328,2024-06-22,Seattle,26-35
329,2024-01-05,New York,36-45
330,2023-08-07,Seattle,26-35
331,2023-11-10,Chicago,26-35
332,2024-10-29,Seattle,26-35
333,2023-01-13,Phoenix,36-45
334,2023-04-13,Boston,36-45
335,2023-02-10,Houston,36-45
336,2023-02-05,Boston,55+
337,2025-01-23,Chicago,36-45
338,2024-09-11,Boston,55+
339,2024-02-22,Seattle,18-25
340,2023-03-28,Phoenix,18-25
341,2024-03-09,New York,26-35
342,2024-02-22,New York,18-25
343,2023-06-02,Chicago,36-45
344,2024-01-18,Boston,36-45
345,2023-12-18,Phoenix,36-45
346,2024-06-26,Houston,36-45
347,2024-07-13,Seattle,55+
348,2023-02-09,Boston,46-55
349,2023-11-27,Boston,18-25
350,2024-07-05,Houston,26-35
351,2024-03-19,Los Angeles,26-35
352,2025-01-24,Seattle,18-25
353,2024-08-03,Chicago,36-45
354,2023-05-24,Seattle,36-45
355,2023-03-04,Phoenix,26-35
356,2024-07-19,Chicago,36-45
357,2023-01-24,Houston,36-45
358,2024-05-31,Phoenix,18-25
