item_id,order_id,product_id,quantity,unit_price,discount_amount
1,1,162,1,88.61,0
2,2,97,2,47.1,0
3,3,310,1,45.51,5
4,4,171,1,35.53,5
5,5,40,1,144.97,5
6,6,241,1,28.79,10
7,7,328,2,73.33,0
8,8,10,1,28.18,10
9,9,468,1,53.8,0
10,10,28,1,166.38,0
11,11,120,1,30.64,0
12,12,336,1,85.86,0
13,13,225,1,162.0,15
14,14,29,1,102.29,0
15,15,156,2,186.48,0
16,16,269,1,182.73,5
17,17,129,1,181.87,0
18,18,250,1,67.97,10
19,19,359,1,140.29,5
20,20,135,1,142.15,0
21,21,186,1,82.95,20
22,22,465,3,48.56,0
23,23,394,2,91.56,15
24,24,315,2,51.98,0
25,25,169,2,46.68,5
26,26,469,1,148.03,5
27,27,193,1,121.7,0
28,28,326,1,56.18,10
29,29,358,1,121.61,0
30,30,278,1,133.43,10
31,31,472,1,94.04,10
32,32,162,1,117.13,15
33,33,203,1,74.92,5
34,34,308,2,171.91,0
35,35,146,1,24.95,10
36,36,82,1,70.16,0
37,37,294,1,156.1,10
38,38,156,1,38.85,0
39,39,104,2,139.62,0
40,40,53,1,178.21,5
41,41,69,1,171.38,10
42,42,87,1,77.6,5
43,43,148,1,188.95,10
44,44,4,1,95.38,0
45,45,160,1,79.36,0
46,46,42,2,132.3,5
47,47,454,3,102.03,0
48,48,483,1,142.65,10
49,49,362,2,195.5,0
50,50,203,1,94.0,0
51,51,412,2,150.48,5
52,52,53,1,53.75,0
53,53,324,1,85.74,0
54,54,409,1,103.74,5
55,55,434,2,62.46,5
56,56,429,1,162.53,0
57,57,425,1,87.57,5
58,58,281,2,193.33,20
59,59,366,1,37.07,0
60,60,74,1,123.99,15
61,61,405,3,100.17,5
62,62,111,1,116.36,20
63,63,303,1,120.09,15
64,64,163,1,164.85,0
65,65,26,2,66.3,0
66,66,283,1,150.82,0
67,67,440,1,130.23,10
68,68,89,3,120.29,0
69,69,407,1,59.85,5
70,70,155,1,135.92,0
71,71,270,1,99.47,0
72,72,333,1,181.55,0
73,73,147,1,176.41,10
74,74,407,1,55.31,10
75,75,90,1,44.36,10
76,76,141,2,111.28,5
77,77,35,1,47.22,0
78,78,103,2,153.45,5
79,79,390,2,101.15,0
80,80,69,1,76.96,5
81,81,426,1,72.77,10
82,82,109,2,167.52,10
83,83,116,3,87.82,0
84,84,439,1,196.56,0
85,85,395,1,40.73,5
86,86,225,1,179.26,0
87,87,15,1,137.45,0
88,88,485,2,130.28,10
89,89,193,1,176.62,0
90,90,454,1,90.82,5
91,91,461,1,121.3,15
92,92,51,1,113.15,0
93,93,124,1,106.4,0
94,94,488,1,162.43,0
95,95,16,3,30.43,20
96,96,361,2,37.83,15
97,97,387,2,193.14,0
98,98,154,2,139.19,5
99,99,101,1,118.24,10
100,100,175,1,30.75,15
101,101,456,1,59.69,15
102,102,496,1,99.55,0
103,103,271,2,52.21,0
104,104,71,1,196.3,0
105,105,2,2,27.32,0
106,106,287,1,198.0,0
107,107,274,1,186.65,0
108,108,443,1,134.38,0
109,109,380,1,21.53,0
110,110,254,2,176.64,0
111,111,75,1,186.17,5
112,112,106,1,48.97,0
113,113,432,1,155.19,0
114,114,472,1,75.83,0
115,115,271,2,128.83,10
116,116,230,1,39.48,5
117,117,44,1,168.38,20
118,118,36,1,37.48,10
119,119,166,1,35.11,0
120,120,354,2,101.27,15
121,121,345,1,146.31,5
122,122,492,1,120.38,5
123,123,465,2,30.24,5
124,124,106,2,96.19,0
125,125,376,1,90.78,5
126,126,201,1,113.49,5
127,127,51,2,185.14,5
128,128,165,1,29.51,5
