order_id,customer_id,order_date,total_amount,order_status
1,248,2023-08-15,105.36,Completed
2,2151,2023-03-23,141.11,Completed
3,1644,2023-04-26,22.02,Completed
4,1736,2023-06-26,35.72,Completed
5,2558,2023-01-09,72.69,Completed
6,1399,2023-07-03,286.39,Completed
7,727,2025-01-28,116.69,Completed
8,1179,2023-10-07,180.22,Completed
9,2135,2023-04-01,91.85,Pending
10,880,2024-06-06,29.07,Completed
11,1506,2023-01-10,41.18,Completed
12,2979,2023-03-15,182.31,Completed
13,1233,2024-01-20,67.01,Completed
14,1007,2024-05-06,68.37,Completed
15,1202,2023-06-03,59.21,Completed
16,1014,2023-05-24,53.74,Completed
17,2306,2023-01-10,90.98,Completed
18,273,2023-05-28,97.7,Completed
19,2911,2025-05-31,181.23,Pending
20,2896,2023-08-11,49.55,Cancelled
21,2873,2023-06-24,105.24,Completed
22,1607,2024-03-09,146.95,Completed
23,595,2025-05-31,35.29,Cancelled
24,2448,2023-09-11,82.87,Pending
25,2401,2023-02-13,46.14,Completed
26,2852,2024-07-10,22.25,Completed
27,1325,2025-05-31,22.69,Completed
28,2058,2024-05-17,42.67,Completed
29,2767,2023-10-30,62.45,Completed
30,2155,2023-05-05,93.39,Completed
31,771,2023-09-18,155.93,Completed
32,1730,2023-08-30,116.86,Completed
33,1259,2025-05-31,256.04,Completed
34,490,2023-01-17,48.96,Completed
35,2723,2023-07-19,146.56,Completed
36,475,2023-06-14,214.13,Completed
37,581,2025-05-31,141.46,Completed
38,2895,2023-01-03,51.36,Completed
39,1841,2023-06-02,200.45,Completed
40,2508,2025-05-31,89.55,Completed
41,1962,2023-03-18,35.7,Cancelled
42,2473,2024-11-17,68.25,Completed
43,329,2024-01-01,94.77,Completed
44,767,2025-05-31,223.17,Completed
45,506,2025-05-31,65.83,Completed
46,2676,2024-01-14,20.15,Completed
47,1940,2023-12-22,59.47,Completed
48,478,2023-03-14,252.83,Completed
49,14,2023-01-28,51.83,Completed
50,2938,2024-08-03,25.85,Completed
51,727,2024-02-22,145.29,Completed
52,746,2024-11-29,192.44,Completed
53,2228,2023-01-09,77.05,Completed
54,2011,2025-05-31,70.66,Completed
55,2614,2023-02-03,30.98,Completed
56,2353,2025-05-31,97.53,Completed
57,475,2023-04-04,40.9,Cancelled
58,2947,2023-05-13,37.23,Completed
59,524,2025-05-31,32.98,Completed
60,2469,2023-09-22,102.39,Completed
61,411,2024-06-06,109.35,Completed
62,1908,2025-05-31,147.5,Pending
63,1648,2023-06-01,84.08,Completed
64,681,2023-03-06,95.05,Completed
65,2664,2023-12-09,76.22,Completed
66,2571,2023-08-05,123.35,Pending
67,1883,2024-12-07,64.14,Completed
68,329,2023-01-03,64.93,Completed
69,272,2024-01-18,146.0,Completed
70,2062,2023-11-16,28.01,Completed
71,175,2025-04-14,91.64,Completed
72,2206,2024-01-14,81.94,Completed
73,622,2025-05-31,161.93,Completed
74,1688,2023-01-12,47.12,Completed
75,234,2023-11-05,227.24,Completed
76,141,2025-05-31,70.28,Completed
77,1505,2025-05-31,159.2,Completed
78,2167,2023-04-19,92.56,Completed
79,382,2025-02-12,24.35,Completed
80,2737,2024-12-21,85.25,Completed
81,1434,2025-05-31,188.48,Pending
82,49,2023-11-10,237.76,Completed
83,149,2023-11-28,98.43,Completed
84,2205,2024-11-11,74.46,Pending
85,2652,2025-05-31,27.34,Completed
86,2200,2023-06-12,64.15,Completed
87,376,2024-05-21,185.71,Completed
88,2730,2024-05-04,35.34,Completed
89,596,2025-05-07,120.84,Completed
90,2637,2024-04-06,160.3,Completed
91,2824,2023-09-27,119.16,Completed
92,1493,2023-06-13,155.69,Cancelled
93,1599,2025-05-31,44.87,Completed
94,2680,2023-06-30,165.14,Pending
95,2310,2023-05-10,146.84,Cancelled
96,842,2024-11-24,57.99,Completed
97,1076,2023-10-31,185.59,Completed
98,489,2023-03-31,222.3,Completed
99,1396,2023-07-15,240.45,Completed
100,2299,2023-04-11,68.34,Completed
101,2362,2023-04-14,40.61,Completed
102,1689,2023-02-04,118.69,Completed
103,2801,2024-04-01,61.95,Completed
104,1524,2023-07-24,4.47,Completed
105,164,2023-01-28,18.66,Completed
106,1465,2024-04-08,197.42,Completed
107,975,2023-06-05,117.87,Completed
108,2181,2023-03-19,61.55,Completed
109,2129,2025-05-31,24.66,Completed
110,2398,2023-02-04,75.42,Completed
111,1671,2023-08-04,37.36,Completed
112,134,2024-02-26,44.52,Completed
113,1076,2025-05-31,109.89,Completed
114,2542,2023-02-07,19.91,Completed
115,2250,2025-05-31,133.05,Completed
116,710,2025-05-31,235.5,Completed
117,2666,2024-10-27,122.71,Completed
118,2804,2023-02-17,183.38,Completed
119,1532,2023-06-01,55.74,Completed
120,1038,2023-05-20,67.92,Completed
121,1409,2023-12-03,154.59,Completed
122,1761,2023-02-26,22.6,Completed
123,2213,2025-01-16,56.47,Completed
124,561,2024-05-19,12.3,Completed
125,582,2025-05-19,61.45,Pending
126,2167,2023-04-21,69.2,Completed
127,2741,2024-03-02,66.32,Completed
128,2383,2025-04-18,163.53,Completed
129,1586,2023-01-23,62.25,Completed
130,1717,2023-12-19,168.94,Completed
131,2685,2024-07-26,211.02,Completed
132,231,2023-07-24,96.84,Completed
133,2359,2023-07-12,41.88,Completed
134,1884,2023-01-15,51.66,Completed
135,3,2023-10-24,48.22,Completed
136,1912,2024-02-04,25.08,Completed
137,1936,2024-08-17,51.02,Completed
138,685,2023-02-09,40.06,Cancelled
139,81,2023-08-26,63.57,Completed
140,1956,2023-05-12,86.95,Completed
141,1299,2023-04-13,174.18,Completed
142,388,2023-05-05,62.75,Completed
143,827,2023-07-16,47.41,Completed
144,1369,2024-08-04,39.62,Completed
145,2267,2023-09-10,99.0,Pending
146,652,2023-01-29,69.49,Completed
147,2111,2023-07-07,10.67,Completed
148,2488,2023-02-21,156.15,Completed
149,2756,2023-04-15,32.65,Completed
150,1788,2023-03-02,121.63,Completed
151,1272,2025-05-31,163.49,Completed
152,1178,2025-05-31,227.01,Completed
153,2258,2024-03-07,185.68,Completed
154,1043,2023-05-08,34.45,Completed
155,2557,2023-03-26,177.99,Completed
156,2722,2025-03-23,65.16,Completed
157,2699,2023-02-03,76.89,Completed
158,2936,2024-06-04,119.47,Completed
159,1624,2023-06-03,79.28,Completed
160,2085,2023-10-24,49.19,Pending
161,2455,2024-07-28,67.39,Completed
162,2472,2023-01-17,136.57,Pending
163,683,2023-03-27,14.63,Completed
164,1796,2024-04-03,63.48,Completed
165,2386,2025-05-31,18.53,Completed
166,1295,2023-05-12,63.09,Completed
167,919,2023-03-13,135.53,Completed
168,2815,2025-05-31,13.38,Completed
169,652,2025-05-31,67.51,Completed
170,1604,2025-05-31,14.3,Completed
171,1604,2023-02-28,35.56,Completed
172,2996,2025-05-31,215.75,Completed
173,1641,2024-01-19,98.93,Pending
174,1486,2024-04-29,65.38,Completed
175,1082,2023-09-24,55.71,Completed
176,376,2023-07-13,59.7,Completed
177,2455,2023-02-22,84.21,Completed
178,1409,2023-04-22,66.84,Pending
179,2104,2024-01-26,162.14,Completed
180,2523,2023-06-17,81.99,Completed
181,1540,2023-02-26,99.04,Completed
182,1821,2024-06-28,42.65,Completed
183,17,2023-11-28,17.18,Completed
184,433,2023-01-19,156.84,Completed
