customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment
1,1,12,1034.98,5,4,5,545,Champions
2,1,14,1054.8700000000001,5,4,5,545,Champions
3,1,14,1002.0600000000001,5,4,5,545,Champions
4,1,12,1340.1100000000001,5,4,5,545,Champions
5,1,15,1345.69,5,4,5,545,Champions
6,51,9,571.45,5,3,4,534,Loyal Customers
7,1,16,1382.23,5,4,5,545,Champions
8,1,7,567.78,5,3,4,534,Loyal Customers
9,1,17,2038.58,5,4,5,545,Champions
10,1,10,1122.8700000000001,5,4,5,545,Champions
11,63,10,1215.2,5,4,5,545,Champions
12,1,14,1489.32,5,4,5,545,Champions
13,106,11,900.8000000000001,4,4,5,445,Champions
14,1,18,1376.76,5,4,5,545,Champions
15,186,7,725.95,4,3,4,434,Loyal Customers
16,127,8,857.15,4,3,5,435,Loyal Customers
17,203,11,918.3399999999999,4,4,5,445,Champions
18,148,10,1377.83,4,4,5,445,Champions
19,1,13,789.37,5,4,4,544,Champions
20,1,8,1089.15,5,3,5,535,Loyal Customers
21,1,12,1322.53,5,4,5,545,Champions
22,268,10,1020.97,4,4,5,445,Champions
23,1,16,1665.46,5,4,5,545,Champions
24,1,13,1302.78,5,4,5,545,Champions
25,1,14,1291.63,5,4,5,545,Champions
26,1,9,771.97,5,3,4,534,Loyal Customers
27,1,13,1810.18,5,4,5,545,Champions
28,1,14,1316.17,5,4,5,545,Champions
29,1,11,1015.73,5,4,5,545,Champions
30,1,14,1116.34,5,4,5,545,Champions
31,1,5,219.70999999999998,5,3,3,533,Loyal Customers
32,1,12,1206.39,5,4,5,545,Champions
33,145,11,1038.67,4,4,5,445,Champions
34,509,6,612.83,3,3,4,334,Loyal Customers
35,1,20,1877.35,5,4,5,545,Champions
36,1,10,1186.24,5,4,5,545,Champions
37,1,10,1624.3999999999999,5,4,5,545,Champions
38,1,11,926.41,5,4,5,545,Champions
39,261,3,337.33,4,2,4,424,Potential Loyalists
40,1,10,1172.34,5,4,5,545,Champions
41,1,12,986.35,5,4,5,545,Champions
42,1,6,511.81,5,3,4,534,Loyal Customers
43,1,7,471.99,5,3,4,534,Loyal Customers
44,1,8,543.39,5,3,4,534,Loyal Customers
45,199,9,731.25,4,3,4,434,Loyal Customers
46,74,12,1262.21,4,4,5,445,Champions
47,1,19,1619.47,5,4,5,545,Champions
48,1,14,1681.87,5,4,5,545,Champions
49,1,10,1021.25,5,4,5,545,Champions
50,1,14,1310.5500000000002,5,4,5,545,Champions
51,1,7,947.1700000000001,5,3,5,535,Loyal Customers
52,1,12,1414.8899999999999,5,4,5,545,Champions
53,1,16,1639.96,5,4,5,545,Champions
54,1,13,1311.29,5,4,5,545,Champions
55,1,10,593.53,5,4,4,544,Champions
56,297,8,686.78,4,3,4,434,Loyal Customers
57,1,12,1229.35,5,4,5,545,Champions
58,1,10,730.79,5,4,4,544,Champions
59,1,7,1128.8899999999999,5,3,5,535,Loyal Customers
60,366,6,699.07,4,3,4,434,Loyal Customers
61,1,14,1500.67,5,4,5,545,Champions
62,1,14,1219.06,5,4,5,545,Champions
63,1,10,1028.5,5,4,5,545,Champions
64,1,8,830.5799999999999,5,3,5,535,Loyal Customers
65,1,9,772.75,5,3,4,534,Loyal Customers
66,1,12,1213.36,5,4,5,545,Champions
67,241,12,986.39,4,4,5,445,Champions
68,1,12,1270.96,5,4,5,545,Champions
69,1,15,1466.95,5,4,5,545,Champions
70,11,10,1334.72,5,4,5,545,Champions
71,1,14,1540.45,5,4,5,545,Champions
72,1,10,1071.78,5,4,5,545,Champions
73,1,15,1161.19,5,4,5,545,Champions
74,1,9,544.83,5,3,4,534,Loyal Customers
75,245,11,1159.46,4,4,5,445,Champions
76,77,9,528.4499999999999,4,3,4,434,Loyal Customers
77,1,13,1173.32,5,4,5,545,Champions
78,316,6,354.65999999999997,4,3,4,434,Loyal Customers
79,1,7,1080.0900000000001,5,3,5,535,Loyal Customers
80,1,11,908.98,5,4,5,545,Champions
81,20,13,1418.8700000000001,5,4,5,545,Champions
82,1,14,1909.0,5,4,5,545,Champions
83,366,14,1500.52,4,4,5,445,Champions
84,1,18,1849.05,5,4,5,545,Champions
85,1,13,1449.54,5,4,5,545,Champions
86,1,18,1626.53,5,4,5,545,Champions
87,86,12,1370.8700000000001,4,4,5,445,Champions
88,1,19,1925.3899999999999,5,4,5,545,Champions
89,1,9,1072.62,5,3,5,535,Loyal Customers
90,177,8,932.68,4,3,5,435,Loyal Customers
91,1,9,756.73,5,3,4,534,Loyal Customers
92,112,14,1196.44,4,4,5,445,Champions
93,1,6,577.57,5,3,4,534,Loyal Customers
